,Polymer,Type,T_K,P_bar,rho_kgm3,Cp_molar_exp,Mw_min,Mw_max,PDI_min,PDI_max
0,HDPE,PE,418.0,1.0132,786.2993,35.9948,1000,8000000,1.07,10.0
1,HDPE,PE,420.04,1.0132,785.1788,36.0818,1000,8000000,1.07,10.0
2,HDPE,PE,422.08,1.0132,784.0615,36.1716,1000,8000000,1.07,10.0
3,HDPE,PE,424.12,1.0132,782.9474,36.2614,1000,8000000,1.07,10.0
4,HDPE,PE,426.16,1.0132,781.8364,36.3512,1000,8000000,1.07,10.0
5,HDPE,PE,428.2,1.0132,780.7287,36.441,1000,8000000,1.07,10.0
6,HDPE,PE,430.24,1.0132,779.624,36.5305,1000,8000000,1.07,10.0
7,HDPE,PE,432.29,1.0132,778.5225,36.6183,1000,8000000,1.07,10.0
8,HDPE,PE,434.33,1.0132,777.4241,36.706,1000,8000000,1.07,10.0
9,HDPE,PE,436.37,1.0132,776.3288,36.7938,1000,8000000,1.07,10.0
10,HDPE,PE,438.41,1.0132,775.2366,36.8816,1000,8000000,1.07,10.0
11,HDPE,PE,440.45,1.0132,774.1475,36.9693,1000,8000000,1.07,10.0
12,HDPE,PE,442.49,1.0132,773.0615,37.0571,1000,8000000,1.07,10.0
13,HDPE,PE,444.53,1.0132,771.9785,37.1448,1000,8000000,1.07,10.0
14,HDPE,PE,446.57,1.0132,770.8985,37.2326,1000,8000000,1.07,10.0
15,HDPE,PE,448.61,1.0132,769.8216,37.3203,1000,8000000,1.07,10.0
16,HDPE,PE,450.65,1.0132,768.7476,37.4081,1000,8000000,1.07,10.0
17,HDPE,PE,452.69,1.0132,767.6767,37.4958,1000,8000000,1.07,10.0
18,HDPE,PE,454.73,1.0132,766.6088,37.5836,1000,8000000,1.07,10.0
19,HDPE,PE,456.78,1.0132,765.5439,37.6713,1000,8000000,1.07,10.0
20,HDPE,PE,458.82,1.0132,764.4819,37.7591,1000,8000000,1.07,10.0
21,HDPE,PE,460.86,1.0132,763.4228,37.8477,1000,8000000,1.07,10.0
22,HDPE,PE,462.9,1.0132,762.3667,37.9375,1000,8000000,1.07,10.0
23,HDPE,PE,464.94,1.0132,761.3136,38.0273,1000,8000000,1.07,10.0
24,HDPE,PE,466.98,1.0132,760.2633,38.1171,1000,8000000,1.07,10.0
25,HDPE,PE,469.02,1.0132,759.216,38.2069,1000,8000000,1.07,10.0
26,HDPE,PE,471.06,1.0132,758.1715,38.2956,1000,8000000,1.07,10.0
27,HDPE,PE,473.1,1.0132,757.13,38.3834,1000,8000000,1.07,10.0
28,HDPE,PE,475.14,1.0132,756.0913,38.4711,1000,8000000,1.07,10.0
29,HDPE,PE,477.18,1.0132,755.0554,38.5589,1000,8000000,1.07,10.0
30,HDPE,PE,479.22,1.0132,754.0224,38.6467,1000,8000000,1.07,10.0
31,HDPE,PE,481.27,1.0132,752.9923,38.7344,1000,8000000,1.07,10.0
32,HDPE,PE,483.31,1.0132,751.9649,38.8222,1000,8000000,1.07,10.0
33,HDPE,PE,485.35,1.0132,750.9404,38.9099,1000,8000000,1.07,10.0
34,HDPE,PE,487.39,1.0132,749.9187,38.9977,1000,8000000,1.07,10.0
35,HDPE,PE,489.43,1.0132,748.8997,39.0854,1000,8000000,1.07,10.0
36,HDPE,PE,491.47,1.0132,747.8835,39.1732,1000,8000000,1.07,10.0
37,HDPE,PE,493.51,1.0132,746.8701,39.2609,1000,8000000,1.07,10.0
38,HDPE,PE,495.55,1.0132,745.8595,39.3487,1000,8000000,1.07,10.0
39,HDPE,PE,497.59,1.0132,744.8516,39.4364,1000,8000000,1.07,10.0
40,HDPE,PE,499.63,1.0132,743.8464,39.5242,1000,8000000,1.07,10.0
41,HDPE,PE,501.67,1.0132,742.844,39.6136,1000,8000000,1.07,10.0
42,HDPE,PE,503.71,1.0132,741.8442,39.7034,1000,8000000,1.07,10.0
43,HDPE,PE,505.76,1.0132,740.8472,39.7932,1000,8000000,1.07,10.0
44,HDPE,PE,507.8,1.0132,739.8528,39.883,1000,8000000,1.07,10.0
45,HDPE,PE,509.84,1.0132,738.8612,39.9728,1000,8000000,1.07,10.0
