Polymer,w_rho,w_cp,m,sigma,epsilon_k,MAPE_rho,MAPE_cp,MAPE_total,Tg,Tfusion
HDPE,2.0,0.0,3959.999905790755,3.713745106516558,250.0005172296259,0.15790354274407573,0.5445324701590466,0.7024360129031223,200.00041378370074,320.0006620539212
HDPE,2.0,0.15,3959.9995924150658,3.713837022886197,250.00251998922093,0.15703266369976485,0.5444918179616242,0.701524481661389,200.00201599137677,320.00322558620286
HDPE,2.0,0.3,3959.997745584902,3.714523097955176,249.99570840847397,0.15683885875481635,0.5446366223895308,0.7014754811443471,199.99656672677918,319.9945067628467
HDPE,2.0,0.44999999999999996,3960.007711375488,3.7137517080759497,250.01319489380734,0.15792234332587993,0.544256331042986,0.7021786743688659,200.01055591504587,320.0168894640734
HDPE,2.0,0.75,3959.9991270910264,3.71398927543459,249.99681947676453,0.15619439789299436,0.5446126758756386,0.7008070737686329,199.99745558141163,319.99592893025863
HDPE,2.0,0.8999999999999999,3960.0020199800324,3.7127705923854406,249.99978301497097,0.17609156184907626,0.544545294040571,0.7206368558896472,199.99982641197678,319.99972225916287
HDPE,2.0,1.05,3960.0356424375063,3.7142147554211786,250.06337963383058,0.15511265359764673,0.5431594660155941,0.6982721196132408,200.05070370706449,320.0811259313032
HDPE,2.0,1.2,3960.012724678853,3.7147645921032564,250.03079504591543,0.15834927661621218,0.5438762582212551,0.7022255348374673,200.02463603673235,320.03941765877175
HDPE,2.0,1.3499999999999999,3959.995796016353,3.7156734493887464,249.99181557401906,0.18225962976060187,0.5447216473330763,0.7269812770936781,199.99345245921526,319.98952393474445
HDPE,2.0,1.5,3960.0149585485956,3.7105314655670107,250.03295044370742,0.279143763336078,0.54382908145964,0.8229728447957181,200.02636035496596,320.04217656794555
LDPE,2.0,0.0,8249.999955024137,3.715457798409775,250.0004816449412,0.10993814178767891,0.7892336966711329,0.8991718384588118,200.00038531595297,320.00061650552476
LDPE,2.0,0.15,8249.999902129997,3.7157191778779333,250.0005775742454,0.10810715096902146,0.7892290359019443,0.8973361868709657,200.00046205939634,320.0007392950342
LDPE,2.0,0.3,8250.01235005894,3.7139773498875326,250.01309379904995,0.15359967897983084,0.7886147540829487,0.9422144330627795,200.01047503923996,320.016760062784
LDPE,2.0,0.44999999999999996,8249.994761049602,3.7148814233717617,250.00287697229356,0.12045894523837271,0.7891272005581096,0.9095861457964823,200.00230157783486,320.0036825245358
LDPE,2.0,0.6,8249.990628899168,3.714166778715385,249.99817068738378,0.14453092887648414,0.7893573907829191,0.9338883196594032,199.99853654990704,319.9976584798513
LDPE,2.0,0.75,8250.002782795247,3.715616894967695,250.00431889072019,0.10865156615745919,0.7890476679402048,0.897699234097664,200.00345511257615,320.00552818012187
LDPE,2.0,0.8999999999999999,8249.993406481568,3.718106510364714,250.00074495542268,0.2135853564785063,0.7892326445903904,1.0028180010688967,200.00059596433815,320.00095354294103
LDPE,2.0,1.05,8249.990053738435,3.7162863983125822,249.99467012884935,0.11222556332890962,0.7895260433980537,0.9017516067269633,199.99573610307948,319.99317776492717
LDPE,2.0,1.2,8249.989286973861,3.715060277858043,250.00210159350934,0.1163002921100039,0.7891735614387027,0.9054738535487066,200.00168127480748,320.00269003969197
LDPE,2.0,1.5,8249.98343062463,3.7166519086025755,249.98469808673713,0.12157500639003978,0.7900103810512353,0.9115853874412752,199.98775846938972,319.98041355102356
i-PP,2.0,0.0,5939.999957454994,3.810067042414049,250.00038132216432,0.25482378746758794,1.6087060615394968,1.8635298490070848,200.00030505773145,320.00048809237035
i-PP,2.0,0.15,5939.999522203207,3.8096523460752705,250.0062907318721,0.25893957432263365,1.6085888233193175,1.8675283976419512,200.0050325854977,320.0080521367963
i-PP,2.0,0.3,5939.983646353527,3.811678376547731,249.98885768068502,0.2597157911983413,1.6089562871454726,1.8686720783438138,199.99108614454804,319.9857378312769
i-PP,2.0,0.44999999999999996,5940.02645079091,3.8101392903324833,250.0344410969231,0.25437944084735753,1.608001806430553,1.8623812472779107,200.02755287753848,320.0440846040616
i-PP,2.0,0.6,5940.009874645313,3.810048959421309,250.0183524057298,0.2549003826316604,1.608339559992274,1.8632399426239346,200.01468192458384,320.0234910793342
i-PP,2.0,0.8999999999999999,5940.0301757984025,3.8062928491648123,250.05328355864452,0.3632570172238092,1.6076189281810718,1.970875945404881,200.04262684691562,320.06820295506503
i-PP,2.0,1.05,5940.020221090745,3.810070841596579,250.0267778641681,0.2547641858817581,1.6081602281631455,1.8629244140449037,200.0214222913345,320.0342756661352
i-PP,2.0,1.2,5940.059597334895,3.809046483705713,250.03845071032964,0.2689345765484881,1.6078763767330757,1.8768109532815638,200.03076056826373,320.04921690922197
i-PP,2.0,1.3499999999999999,5940.007332520068,3.809084978875736,249.99281994084606,0.26716752882039185,1.6088420964983783,1.8760096253187701,199.99425595267687,319.990809524283
i-PP,2.0,1.5,5940.036194315727,3.830553027572424,249.97979560263533,1.6000600236245572,1.6090994686139954,3.2091594922385527,199.98383648210827,319.9741383713733
s-PP,2.0,0.0,5279.999953046654,3.813721270907458,250.00033923765466,0.1717293335758154,1.2978482646820106,1.469577598257826,200.00027139012374,320.000434224198
s-PP,2.0,0.15,5279.995897450007,3.8137128816509462,250.00541516122465,0.17187589266293402,1.297908442024159,1.469784334687093,200.00433212897974,320.0069314063676
s-PP,2.0,0.3,5280.000213670071,3.813785445404939,250.00826090402987,0.1713682684959695,1.2979468708327986,1.469315139328768,200.0066087232239,320.0105739571583
s-PP,2.0,0.44999999999999996,5279.994139328175,3.8113625118295023,250.0075196569587,0.23556120948970333,1.2979343120177445,1.5334955215074477,200.00601572556695,320.00962516090715
s-PP,2.0,0.6,5279.988752219406,3.8119590593285206,250.00831433596687,0.2118412038126116,1.2979416709810057,1.5097828747936173,200.0066514687735,320.01064235003764
s-PP,2.0,0.8999999999999999,5279.965607493054,3.8138216347640115,250.02047861547354,0.1712198283370287,1.2980827663976873,1.469302594734716,200.01638289237883,320.02621262780616
s-PP,2.0,1.05,5279.990427468506,3.8183594041693105,250.0103058689229,0.36278442326555926,1.2979695170754137,1.660753940340973,200.00824469513833,320.01319151222134
s-PP,2.0,1.2,5279.989593318045,3.8128731577506194,250.02581419827484,0.1855390454148506,1.2981597477635822,1.483698793178433,200.0206513586199,320.03304217379184
s-PP,2.0,1.3499999999999999,5279.989583451931,3.8170103759685023,250.00195783750115,0.25946689640143156,1.2978652483999324,1.557332144801364,200.00156627000092,320.0025060320015
s-PP,2.0,1.5,5279.968519434185,3.811103579314575,250.03539417180306,0.24999876328385814,1.2982674981425562,1.5482662614264142,200.02831533744245,320.04530453990793
a-PP,2.0,0.0,2639.999909950067,3.8213506747975257,250.00025117626325,0.15511982406216845,9.40877168885009,9.563891512912258,200.0002009410106,320.00032150561697
a-PP,2.0,0.15,2639.96481212487,3.821210144770214,249.96566735559932,0.15407093614458145,9.404314354256128,9.55838529040071,199.97253388447947,319.95605421516717
a-PP,2.0,0.3,2639.9866755538637,3.8189191684394888,250.02236945553778,0.2007627165359364,9.411253168541359,9.612015885077295,200.01789556443023,320.0286329030884
a-PP,2.0,0.44999999999999996,2639.982064072786,3.8337146057108815,250.04004950143934,0.9598103630900402,9.41332309139214,10.373133454482181,200.0320396011515,320.0512633618424
a-PP,2.0,0.6,2639.989066585248,3.825897371349995,250.07261793821536,0.35163871054695794,9.417242558219808,9.768881268766766,200.0580943505723,320.0929509609157
a-PP,2.0,0.75,2639.966176494785,3.8165369520595327,250.07730548185398,0.3879154754127606,9.417550970605307,9.805466446018068,200.0618443854832,320.0989510167731
a-PP,2.0,0.8999999999999999,2639.977655024791,3.8225737199846046,250.0951892317706,0.1777707660812703,9.419796473660137,9.597567239741407,200.0761513854165,320.12184221666644
a-PP,2.0,1.05,2639.954637114936,3.821562974386915,250.0730099837122,0.15593419887761883,9.41693286283237,9.572867061709989,200.05840798696977,320.0934527791517
a-PP,2.0,1.2,2639.9583243850598,3.8278224939771546,250.09299867658154,0.4953516445776433,9.419347954410243,9.914699598987887,200.07439894126526,320.11903830602444
a-PP,2.0,1.3499999999999999,2639.952840960357,3.8213707819746623,250.10523125036707,0.15333346050338828,9.420731845975185,9.574065306478573,200.08418500029367,320.1346960004699
